index,year,package,className,direction
286,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobInputStream,From
287,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobInputStream,To
288,2011,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,From
289,2011,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,To
290,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,FunctionCustom,From
291,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb,FunctionCustom,To
292,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.types,BinaryType,From
293,2009,hsqldb-svn-r2957.base.trunk.src.org.hsqldb.types,BinaryType,To
294,2017,base.trunk.src.org.hsqldb.rowio,RowInputBase,From
295,2017,base.trunk.src.org.hsqldb.rowio,RowInputBase,To
296,2013,base.trunk.src.org.hsqldb.rights,Grantee,From
297,2013,base.trunk.src.org.hsqldb.rights,Grantee,To
298,2014,base.trunk.src.org.hsqldb.lib,HsqlTaskQueue,From
299,2014,base.trunk.src.org.hsqldb.lib,HsqlTaskQueue,To
300,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.lib,WrapperIterator,From
301,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.lib,WrapperIterator,To
302,2013,base.trunk.src.org.hsqldb.lib,OrderedLongKeyHashMap,From
303,2013,base.trunk.src.org.hsqldb.lib,OrderedLongKeyHashMap,To
304,2011,base.trunk.src.org.hsqldb.lib,HsqlDeque,From
305,2011,base.trunk.src.org.hsqldb.lib,HsqlDeque,To
306,2011,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,From
307,2011,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,To
308,2019,hsqldb.src.org.hsqldb.lib,HashMappedList,From
309,2019,hsqldb.src.org.hsqldb.lib,HashMappedList,To
310,2011,base.trunk.src.org.hsqldb.store,ReusableObjectCache,From
311,2011,base.trunk.src.org.hsqldb.store,ReusableObjectCache,To
312,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.types,DateTimeType,From
313,2015,hsqldb-svn-r5454.base.trunk.src.org.hsqldb.types,DateTimeType,To
314,2017,base.trunk.src.org.hsqldb.index,NodeAVLDiskLarge,From
315,2017,base.trunk.src.org.hsqldb.index,NodeAVLDiskLarge,To
316,2011,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,From
317,2011,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,To
318,2012,base.trunk.src.org.hsqldb,Scanner,From
319,2012,base.trunk.src.org.hsqldb,Scanner,To
320,2011,base.trunk.src.org.hsqldb.persist,TextCache,From
321,2011,base.trunk.src.org.hsqldb.persist,TextCache,To
322,2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,From
323,2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcSQLXMLTest,To
324,2007,base.trunk.src.org.hsqldb.test,TestQuotes,From
325,2007,base.trunk.src.org.hsqldb.test,TestQuotes,To
326,2010,base.trunk.src.org.hsqldb.util,ConnectionDialog,From
327,2010,base.trunk.src.org.hsqldb.util,ConnectionDialog,To
328,2007,base.trunk.src.org.hsqldb,GroupedResult,From
329,2007,base.trunk.src.org.hsqldb,GroupedResult,To
330,2010,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,From
331,2010,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,To
332,2007,base.trunk.src.org.hsqldb,Parser,From
333,2007,base.trunk.src.org.hsqldb,Parser,To
334,2019,hsqldb.src.org.hsqldb.types,ClobType,From
335,2019,hsqldb.src.org.hsqldb.types,ClobType,To
336,2014,base.trunk.src.org.hsqldb,ExpressionAccessor,From
337,2014,base.trunk.src.org.hsqldb,ExpressionAccessor,To
338,2007,base.trunk.src.org.hsqldb.util,ScriptTool,From
339,2007,base.trunk.src.org.hsqldb.util,ScriptTool,To
340,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,From
341,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,To
342,2014,base.trunk.src.org.hsqldb.persist,HsqlProperties,From
343,2014,base.trunk.src.org.hsqldb.persist,HsqlProperties,To
344,2010,base.trunk.src.org.hsqldb.test,TestDatetimeSimple,From
345,2010,base.trunk.src.org.hsqldb.test,TestDatetimeSimple,To
346,2010,base.trunk.src.org.hsqldb.util,TransferDb,From
347,2010,base.trunk.src.org.hsqldb.util,TransferDb,To
348,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputText,From
349,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.rowio,RowOutputText,To
350,2013,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,From
351,2013,base.trunk.src.org.hsqldb.persist,ScaledRAFileInJar,To
352,2012,base.trunk.src.org.hsqldb.test,AbstractTestOdbc,From
353,2012,base.trunk.src.org.hsqldb.test,AbstractTestOdbc,To
354,2014,base.trunk.src.org.hsqldb.server,OdbcUtil,From
355,2014,base.trunk.src.org.hsqldb.server,OdbcUtil,To
356,2012,base.trunk.src.org.hsqldb.test,TestMultiInsert,From
357,2012,base.trunk.src.org.hsqldb.test,TestMultiInsert,To
358,2012,base.trunk.src.org.hsqldb.lib.tar,RB,From
359,2012,base.trunk.src.org.hsqldb.lib.tar,RB,To
360,2019,hsqldb.src.org.hsqldb.map,BaseHashMap,From
361,2019,hsqldb.src.org.hsqldb.map,BaseHashMap,To
362,2013,base.trunk.src.org.hsqldb.test,TestSql,From
363,2013,base.trunk.src.org.hsqldb.test,TestSql,To
364,2017,base.trunk.src.org.hsqldb.test,TestUpdatableResultSets,From
365,2017,base.trunk.src.org.hsqldb.test,TestUpdatableResultSets,To
366,2011,base.trunk.src.org.hsqldb.jdbc,JDBCCommonDataSource,From
367,2011,base.trunk.src.org.hsqldb.jdbc,JDBCCommonDataSource,To
368,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,From
369,2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,To
370,2012,base.trunk.src.org.hsqldb.rowio,RowOutputBinary180,From
371,2012,base.trunk.src.org.hsqldb.rowio,RowOutputBinary180,To
372,2014,base.trunk.src.org.hsqldb.lib,ClosableByteArrayOutputStream,From
373,2014,base.trunk.src.org.hsqldb.lib,ClosableByteArrayOutputStream,To
374,2011,base.trunk.src.org.hsqldb.scriptio,ScriptWriterEncode,From
375,2011,base.trunk.src.org.hsqldb.scriptio,ScriptWriterEncode,To
376,2012,base.trunk.src.org.hsqldb.rowio,RowOutputTextQuoted,From
377,2012,base.trunk.src.org.hsqldb.rowio,RowOutputTextQuoted,To
378,2010,base.trunk.src.org.hsqldb.jdbc,JDBCBlob,From
379,2010,base.trunk.src.org.hsqldb.jdbc,JDBCBlob,To
380,2017,base.trunk.src.org.hsqldb.rowio,RowOutputBase,From
