year,originPackage,originClass,originLocation,destPackage,destClass,destLocation,duplicateSize
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc,jdbcResultSet,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/jdbcResultSet.java|(301787,1437,<6878,0>,<6905,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/jdbc/pool/ManagedPoolDataSource.java|(19386,1437,<468,0>,<495,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,CharacterType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/CharacterType.java|(21194,193,<694,0>,<702,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb,Library,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/Library.java|(38813,193,<1099,0>,<1107,9>)",6
2007,base.trunk.test.org.hsqldb.jdbc,jdbcRowIdTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcRowIdTest.java|(2025,165,<48,0>,<55,25>)",base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(2068,165,<50,0>,<57,25>)",5
2007,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcBlobTest.java|(2050,198,<49,0>,<58,5>)",base.trunk.test.org.hsqldb.jdbc,jdbcConnectionTest,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2320,198,<58,0>,<67,5>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,ConnectionDialog,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/ConnectionDialog.java|(1950,269,<46,0>,<54,35>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.util,ZaurusConnectionDialog,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/util/ZaurusConnectionDialog.java|(1834,269,<42,0>,<50,35>)",8
2007,base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4701,248,<171,0>,<181,41>)",base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(4252,248,<157,0>,<167,41>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcNClobTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(1993,189,<49,0>,<58,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcParameterMetaDataTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcParameterMetaDataTest.java|(1903,189,<45,0>,<54,5>)",7
2008,hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcCallableStatementTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcCallableStatementTest.java|(2213,189,<56,0>,<65,5>)",hsqldb-svn-r432.base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/test/org/hsqldb/jdbc/jdbcBlobTest.java|(2001,189,<49,0>,<58,5>)",7
2007,base.trunk.src.org.hsqldb.rowio,RowOutputText,"|java+compilationUnit:///base/trunk/src/org/hsqldb/rowio/RowOutputText.java|(8954,260,<333,0>,<343,53>)",base.trunk.src.org.hsqldb.rowio,RowOutputBinary,"|java+compilationUnit:///base/trunk/src/org/hsqldb/rowio/RowOutputBinary.java|(6427,261,<223,0>,<234,53>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(7987,200,<272,0>,<282,9>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,OtherType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/OtherType.java|(3736,200,<133,0>,<143,9>)",7
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,OtherType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/OtherType.java|(1656,174,<35,0>,<40,38>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BlobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BlobType.java|(1626,174,<33,0>,<38,38>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(3266,139,<99,0>,<108,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(3094,139,<99,0>,<108,5>)",6
2007,base.trunk.src.org.hsqldb,DDLParser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(70583,134,<2373,0>,<2379,13>)",base.trunk.src.org.hsqldb,Parser,"|java+compilationUnit:///base/trunk/src/org/hsqldb/Parser.java|(24159,134,<759,0>,<765,13>)",5
2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationFull,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(56542,139,<1466,0>,<1474,5>)",base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(85765,139,<2087,0>,<2095,5>)",6
2007,base.trunk.src.org.hsqldb.lib,IntValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntValueHashMap.java|(5069,157,<191,0>,<198,29>)",base.trunk.src.org.hsqldb.lib,MultiValueHashMap,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4147,157,<147,0>,<154,29>)",5
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,BitType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/BitType.java|(2341,149,<65,0>,<73,5>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.types,ClobType,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/types/ClobType.java|(2376,149,<63,0>,<71,5>)",6
2008,hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,LongKeyIntValueHashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/LongKeyIntValueHashMap.java|(4236,248,<157,0>,<167,41>)",hsqldb-svn-r432.base.trunk.src.org.hsqldb.lib,HashMap,"|java+compilationUnit:///hsqldb-svn-r432/base/trunk/src/org/hsqldb/lib/HashMap.java|(3960,248,<141,0>,<151,41>)",7
